Provider,PotentialFraud,Fraud,InpatientClaimCount,AvgInpatientReimbursement,TotalInpatientReimbursement,AvgInpatientDeductible,AvgLengthOfStay,OutpatientClaimCount,AvgOutpatientReimbursement,TotalOutpatientReimbursement,AvgOutpatientDeductible,TotalClaimCount,TotalReimbursement,InpatientToOutpatientRatio
PRV51001,No,0,4,23250.0,93000.0,1068.0,6.25,20,382.0,7640.0,0.0,24,100640.0,0.2
PRV51003,Yes,1,62,9241.935483870968,573000.0,1068.0,5.161290322580645,70,466.7142857142857,32670.0,1.0,132,605670.0,0.8857142857142857
PRV51004,No,0,0,0.0,0.0,0.0,0.0,149,350.13422818791946,52170.0,2.0805369127516777,149,52170.0,0.0
PRV51005,Yes,1,0,0.0,0.0,0.0,0.0,1165,241.1244635193133,280910.0,3.1759656652360513,1165,280910.0,0.0
PRV51007,No,0,3,6333.333333333333,19000.0,1068.0,5.333333333333333,69,213.18840579710144,14710.0,0.8695652173913043,72,33710.0,0.043478260869565216
PRV51008,No,0,2,12500.0,25000.0,1068.0,4.0,41,259.2682926829268,10630.0,4.390243902439025,43,35630.0,0.04878048780487805
PRV51011,No,0,1,5000.0,5000.0,1068.0,5.0,57,204.03508771929825,11630.0,5.2631578947368425,58,16630.0,0.017543859649122806
PRV51012,No,0,0,0.0,0.0,0.0,0.0,48,351.875,16890.0,2.0833333333333335,48,16890.0,0.0
PRV51013,No,0,0,0.0,0.0,0.0,0.0,46,323.4782608695652,14880.0,5.0,46,14880.0,0.0
PRV51014,No,0,0,0.0,0.0,0.0,0.0,30,349.3333333333333,10480.0,4.0,30,10480.0,0.0
PRV51015,No,0,0,0.0,0.0,0.0,0.0,8,87.5,700.0,0.0,8,700.0,0.0
PRV51016,No,0,0,0.0,0.0,0.0,0.0,6,28.333333333333332,170.0,0.0,6,170.0,0.0
PRV51017,No,0,0,0.0,0.0,0.0,0.0,515,277.126213592233,142720.0,2.0388349514563107,515,142720.0,0.0
PRV51021,Yes,1,29,9275.862068965518,269000.0,1068.0,4.758620689655173,228,350.13157894736844,79830.0,2.280701754385965,257,348830.0,0.12719298245614036
PRV51023,No,0,8,6250.0,50000.0,1068.0,4.0,27,430.0,11610.0,2.962962962962963,35,61610.0,0.2962962962962963
PRV51024,No,0,9,6777.777777777777,61000.0,1068.0,4.333333333333333,30,101.66666666666667,3050.0,3.0,39,64050.0,0.3
